InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Category,Quantity,UnitPrice,Revenue
C504674,2022-02-14,11189,Spain,P0252,Books,4,12.68,50.72
C504674,2022-02-14,11189,Spain,P0384,Sports & Outdoors,3,9.13,27.39
C507103,2022-02-15,11829,United Kingdom,P0072,Automotive,6,12.23,73.38
C507103,2022-02-15,11829,United Kingdom,P0274,Automotive,4,7.98,31.92
C507103,2022-02-15,11829,United Kingdom,P0089,Electronics,5,16.65,83.25
C507103,2022-02-15,11829,United Kingdom,P0063,Automotive,1,34.65,34.65
C507103,2022-02-15,11829,United Kingdom,P0256,Toys,2,20.47,40.94
C503939,2022-02-16,10995,United Kingdom,P0279,Office,3,3.03,9.09
C509567,2022-02-18,12486,Germany,P0204,Books,4,18.34,73.36
C508130,2022-02-20,12102,United Kingdom,P0029,Music,2,8.73,17.46
C504025,2022-02-20,11012,Germany,P0100,Tools,2,110.38,220.76
C508130,2022-02-20,12102,United Kingdom,P0179,Clothing,2,8.49,16.98
C508130,2022-02-20,12102,United Kingdom,P0071,Office,2,5.03,10.06
C505543,2022-02-21,11410,United Kingdom,P0134,Tools,6,16.1,96.6
C505543,2022-02-21,11410,United Kingdom,P0240,Office,6,5.46,32.76
C504398,2022-02-21,11117,Spain,P0316,Health,4,11.41,45.64
C501122,2022-02-21,10305,United Kingdom,P0307,Office,3,6.5,19.5
C500291,2022-02-22,10081,Spain,P0173,Music,6,6.37,38.22
C504293,2022-02-22,11090,United Kingdom,P0268,Tools,2,104.41,208.82
C503115,2022-02-23,10787,Germany,P0263,Home & Garden,2,9.45,18.9
C500767,2022-02-23,10210,Germany,P0244,Toys,2,4.5,9.0
C506853,2022-02-24,11772,United Kingdom,P0104,Electronics,2,52.9,105.8
C502781,2022-02-26,10717,Germany,P0319,Beauty,1,2.81,2.81
C506383,2022-02-26,11643,United Kingdom,P0216,Books,4,19.42,77.68
C506383,2022-02-26,11643,United Kingdom,P0301,Home & Garden,6,27.64,165.84
C509529,2022-02-27,12475,Germany,P0157,Office,2,15.05,30.1
C503070,2022-02-27,10775,United Kingdom,P0289,Food & Grocery,6,17.19,103.14
C509529,2022-02-27,12475,Germany,P0181,Tools,4,9.82,39.28
C503070,2022-02-27,10775,United Kingdom,P0226,Pet Supplies,6,117.32,703.92
C506038,2022-03-01,11543,United Kingdom,P0165,Home & Garden,6,13.89,83.34
C507281,2022-03-01,11879,Spain,P0384,Sports & Outdoors,1,9.22,9.22
C503745,2022-03-02,10945,United Kingdom,P0096,Office,6,81.12,486.72
C503745,2022-03-02,10945,United Kingdom,P0040,Health,3,21.45,64.35
C505330,2022-03-03,11355,France,P0099,Pet Supplies,4,40.01,160.04
C505330,2022-03-03,11355,France,P0230,Beauty,3,2.96,8.88
C505612,2022-03-03,11428,United Kingdom,P0016,Books,2,14.41,28.82
C501919,2022-03-04,10494,United Kingdom,P0322,Books,3,73.19,219.57
C501919,2022-03-04,10494,United Kingdom,P0276,Home & Garden,2,44.55,89.1
C508102,2022-03-05,12093,United Kingdom,P0264,Clothing,3,67.53,202.59
C505637,2022-03-05,11437,Netherlands,P0167,Toys,6,15.93,95.58
C500290,2022-03-05,10081,Spain,P0089,Electronics,6,16.95,101.7
C500290,2022-03-05,10081,Spain,P0177,Clothing,1,30.68,30.68
C503555,2022-03-06,10898,United Kingdom,P0258,Food & Grocery,5,33.42,167.1
C503599,2022-03-06,10909,France,P0189,Jewelry,2,22.84,45.68
C502372,2022-03-06,10610,Germany,P0311,Toys,5,21.75,108.75
C507358,2022-03-06,11902,France,P0082,Pet Supplies,2,112.61,225.22
C503555,2022-03-06,10898,United Kingdom,P0128,Music,2,19.95,39.9
C503555,2022-03-06,10898,United Kingdom,P0318,Tools,5,14.68,73.4
C507358,2022-03-06,11902,France,P0040,Health,2,21.84,43.68
C507358,2022-03-06,11902,France,P0286,Home & Garden,6,4.17,25.02
C503599,2022-03-06,10909,France,P0243,Automotive,4,11.82,47.28
C503599,2022-03-06,10909,France,P0184,Home & Garden,1,9.44,9.44
C505608,2022-03-07,11428,United Kingdom,P0260,Automotive,5,5.16,25.8
C502782,2022-03-07,10717,Germany,P0221,Clothing,2,40.85,81.7
C506707,2022-03-07,11737,Netherlands,P0396,Food & Grocery,6,24.85,149.1
C506707,2022-03-07,11737,Netherlands,P0075,Electronics,2,6.92,13.84
C506707,2022-03-07,11737,Netherlands,P0366,Jewelry,4,19.43,77.72
C505608,2022-03-07,11428,United Kingdom,P0193,Tools,2,21.81,43.62
C505608,2022-03-07,11428,United Kingdom,P0225,Office,5,20.78,103.9
C500196,2022-03-08,10050,France,P0019,Clothing,5,9.37,46.85
C507704,2022-03-08,12003,United Kingdom,P0325,Beauty,1,23.55,23.55
C506837,2022-03-08,11769,United Kingdom,P0031,Home & Garden,3,26.94,80.82
C501059,2022-03-08,10289,Germany,P0337,Clothing,3,38.12,114.36
C501059,2022-03-08,10289,Germany,P0060,Clothing,3,41.02,123.06
C500196,2022-03-08,10050,France,P0302,Clothing,2,11.4,22.8
C507704,2022-03-08,12003,United Kingdom,P0028,Baby,2,30.45,60.9
C506837,2022-03-08,11769,United Kingdom,P0214,Health,5,21.57,107.85
C501000,2022-03-09,10274,Spain,P0006,Pet Supplies,1,6.53,6.53
C501000,2022-03-09,10274,Spain,P0372,Office,4,9.39,37.56
C501000,2022-03-09,10274,Spain,P0124,Sports & Outdoors,3,21.26,63.78
C501000,2022-03-09,10274,Spain,P0042,Office,4,21.46,85.84
C501000,2022-03-09,10274,Spain,P0296,Beauty,3,11.33,33.99
C503945,2022-03-10,10995,United Kingdom,P0192,Automotive,4,12.29,49.16
C504259,2022-03-11,11080,United Kingdom,P0397,Beauty,1,11.05,11.05
C502798,2022-03-12,10719,United Kingdom,P0239,Baby,3,27.17,81.51
C507756,2022-03-12,12013,United Kingdom,P0038,Home & Garden,5,11.98,59.9
C502385,2022-03-12,10610,Germany,P0148,Home & Garden,1,8.97,8.97
C502174,2022-03-12,10558,United Kingdom,P0009,Office,6,35.42,212.52
C502174,2022-03-12,10558,United Kingdom,P0233,Music,5,21.05,105.25
C502385,2022-03-12,10610,Germany,P0290,Home & Garden,1,3.44,3.44
C503832,2022-03-13,10971,Germany,P0235,Books,2,89.6,179.2
C502391,2022-03-13,10610,Germany,P0045,Music,3,21.18,63.54
C503514,2022-03-13,10893,Netherlands,P0060,Clothing,6,40.85,245.1
C503514,2022-03-13,10893,Netherlands,P0265,Office,5,19.95,99.75
C502391,2022-03-13,10610,Germany,P0051,Jewelry,4,44.7,178.8
C500551,2022-03-13,10149,United Kingdom,P0107,Books,4,35.14,140.56
C502391,2022-03-13,10610,Germany,P0394,Clothing,2,29.18,58.36
C500551,2022-03-13,10149,United Kingdom,P0278,Home & Garden,3,6.98,20.94
C509518,2022-03-15,12473,United Kingdom,P0220,Health,3,62.68,188.04
C508414,2022-03-15,12177,United Kingdom,P0291,Health,4,16.88,67.52
C506702,2022-03-16,11737,Netherlands,P0399,Home & Garden,3,15.42,46.26
C507155,2022-03-16,11842,Spain,P0197,Music,5,15.21,76.05
C505164,2022-03-16,11317,United Kingdom,P0067,Automotive,4,19.9,79.6
C505164,2022-03-16,11317,United Kingdom,P0132,Automotive,3,110.96,332.88
C505717,2022-03-16,11461,France,P0074,Sports & Outdoors,4,19.62,78.48
C505717,2022-03-16,11461,France,P0182,Jewelry,5,41.54,207.7
C505717,2022-03-16,11461,France,P0030,Sports & Outdoors,1,7.44,7.44
C505717,2022-03-16,11461,France,P0185,Sports & Outdoors,4,13.44,53.76
C500769,2022-03-16,10210,Germany,P0008,Toys,6,7.6,45.6
C505164,2022-03-16,11317,United Kingdom,P0348,Baby,6,39.55,237.3
C507155,2022-03-16,11842,Spain,P0142,Music,1,24.29,24.29
C507155,2022-03-16,11842,Spain,P0319,Beauty,5,2.24,11.2
C500769,2022-03-16,10210,Germany,P0120,Baby,4,48.68,194.72
C507155,2022-03-16,11842,Spain,P0105,Office,5,10.02,50.1
C506702,2022-03-16,11737,Netherlands,P0065,Electronics,3,14.49,43.47
C505717,2022-03-16,11461,France,P0281,Music,5,33.51,167.55
C500769,2022-03-16,10210,Germany,P0375,Books,4,18.56,74.24
C505587,2022-03-18,11422,United Kingdom,P0066,Books,5,11.64,58.2
C505587,2022-03-18,11422,United Kingdom,P0271,Baby,2,41.24,82.48
C505587,2022-03-18,11422,United Kingdom,P0213,Tools,1,13.25,13.25
C503323,2022-03-18,10844,United Kingdom,P0005,Food & Grocery,5,27.54,137.7
C503323,2022-03-18,10844,United Kingdom,P0213,Tools,2,12.9,25.8
C503432,2022-03-19,10870,Spain,P0171,Sports & Outdoors,3,107.21,321.63
C503432,2022-03-19,10870,Spain,P0082,Pet Supplies,1,112.01,112.01
C503432,2022-03-19,10870,Spain,P0088,Books,3,9.68,29.04
C503432,2022-03-19,10870,Spain,P0241,Toys,3,85.73,257.19
C505187,2022-03-19,11324,Germany,P0238,Health,1,8.01,8.01
C508207,2022-03-19,12119,United Kingdom,P0254,Automotive,5,7.06,35.3
C509154,2022-03-20,12373,Spain,P0185,Sports & Outdoors,3,13.66,40.98
C507565,2022-03-20,11966,United Kingdom,P0212,Pet Supplies,3,32.77,98.31
C504197,2022-03-20,11061,France,P0029,Music,1,8.67,8.67
C504197,2022-03-20,11061,France,P0184,Home & Garden,2,8.99,17.98
C505970,2022-03-21,11523,United Kingdom,P0238,Health,3,8.03,24.09
C504292,2022-03-21,11090,United Kingdom,P0316,Health,1,11.97,11.97
C506877,2022-03-22,11775,Germany,P0149,Food & Grocery,5,11.65,58.25
C506877,2022-03-22,11775,Germany,P0187,Toys,3,10.8,32.4
C508908,2022-03-22,12306,Spain,P0129,Music,6,31.68,190.08
C508908,2022-03-22,12306,Spain,P0181,Tools,6,10.67,64.02
C508908,2022-03-22,12306,Spain,P0069,Jewelry,1,3.33,3.33
C508908,2022-03-22,12306,Spain,P0103,Music,4,11.99,47.96
C508908,2022-03-22,12306,Spain,P0294,Electronics,3,25.01,75.03
C508908,2022-03-22,12306,Spain,P0272,Baby,3,31.69,95.07
C508908,2022-03-22,12306,Spain,P0126,Office,3,19.36,58.08
C508908,2022-03-22,12306,Spain,P0183,Clothing,1,16.5,16.5
C502175,2022-03-23,10558,United Kingdom,P0071,Office,4,4.75,19.0
C502175,2022-03-23,10558,United Kingdom,P0034,Beauty,5,27.09,135.45
C506592,2022-03-24,11708,United Kingdom,P0097,Books,1,25.84,25.84
C507276,2022-03-25,11877,United Kingdom,P0140,Food & Grocery,6,11.1,66.6
C507276,2022-03-25,11877,United Kingdom,P0083,Food & Grocery,5,30.95,154.75
C507276,2022-03-25,11877,United Kingdom,P0052,Clothing,4,5.45,21.8
C507276,2022-03-25,11877,United Kingdom,P0141,Home & Garden,1,37.39,37.39
C505547,2022-03-26,11411,France,P0158,Automotive,3,15.03,45.09
C502658,2022-03-26,10687,France,P0395,Books,5,14.83,74.15
C502658,2022-03-26,10687,France,P0283,Toys,5,19.61,98.05
C502392,2022-03-26,10610,Germany,P0172,Clothing,4,7.97,31.88
C502658,2022-03-26,10687,France,P0381,Jewelry,5,6.51,32.55
C502658,2022-03-26,10687,France,P0091,Books,2,37.62,75.24
C506043,2022-03-26,11543,United Kingdom,P0381,Jewelry,3,6.92,20.76
C502392,2022-03-26,10610,Germany,P0062,Sports & Outdoors,5,14.34,71.7
C503752,2022-03-26,10947,United Kingdom,P0358,Home & Garden,5,23.03,115.15
C500415,2022-03-26,10115,United Kingdom,P0184,Home & Garden,5,9.44,47.2
C503752,2022-03-26,10947,United Kingdom,P0105,Office,4,10.44,41.76
C500415,2022-03-26,10115,United Kingdom,P0344,Clothing,2,7.51,15.02
C505413,2022-03-27,11381,United Kingdom,P0266,Music,6,49.25,295.5
C505413,2022-03-27,11381,United Kingdom,P0023,Food & Grocery,6,36.82,220.92
C505413,2022-03-27,11381,United Kingdom,P0069,Jewelry,4,3.99,15.96
C505413,2022-03-27,11381,United Kingdom,P0185,Sports & Outdoors,3,14.14,42.42
C506305,2022-03-27,11622,Germany,P0134,Tools,1,16.2,16.2
C503521,2022-03-27,10893,Netherlands,P0294,Electronics,2,24.97,49.94
C503521,2022-03-27,10893,Netherlands,P0259,Health,3,7.22,21.66
C506516,2022-03-27,11685,United Kingdom,P0198,Pet Supplies,2,23.84,47.68
C505413,2022-03-27,11381,United Kingdom,P0229,Sports & Outdoors,2,10.75,21.5
C501517,2022-03-28,10390,Netherlands,P0252,Books,5,12.64,63.2
C501517,2022-03-28,10390,Netherlands,P0024,Music,3,18.52,55.56
C501517,2022-03-28,10390,Netherlands,P0153,Health,5,20.36,101.8
C500525,2022-03-30,10142,United Kingdom,P0085,Clothing,4,21.18,84.72
C500525,2022-03-30,10142,United Kingdom,P0260,Automotive,4,5.01,20.04
C501172,2022-03-31,10321,Spain,P0007,Sports & Outdoors,5,31.92,159.6
C501172,2022-03-31,10321,Spain,P0292,Home & Garden,4,6.08,24.32
C501172,2022-03-31,10321,Spain,P0040,Health,5,22.23,111.15
C501172,2022-03-31,10321,Spain,P0039,Health,5,37.36,186.8
C505365,2022-04-01,11366,Netherlands,P0397,Beauty,3,11.3,33.9
C503528,2022-04-01,10893,Netherlands,P0131,Pet Supplies,3,6.74,20.22
C503528,2022-04-01,10893,Netherlands,P0172,Clothing,3,8.2,24.6
C503528,2022-04-01,10893,Netherlands,P0023,Food & Grocery,3,36.54,109.62
C502123,2022-04-01,10546,United Kingdom,P0028,Baby,3,30.83,92.49
C503528,2022-04-01,10893,Netherlands,P0195,Office,4,5.42,21.68
C503071,2022-04-01,10775,United Kingdom,P0013,Health,5,25.93,129.65
C503071,2022-04-01,10775,United Kingdom,P0358,Home & Garden,3,23.03,69.09
C502700,2022-04-02,10698,United Kingdom,P0213,Tools,2,13.2,26.4
C507761,2022-04-02,12013,United Kingdom,P0248,Automotive,4,4.23,16.92
C507761,2022-04-02,12013,United Kingdom,P0199,Clothing,2,64.11,128.22
C505223,2022-04-03,11332,Spain,P0305,Sports & Outdoors,1,7.97,7.97
C505749,2022-04-03,11468,United Kingdom,P0194,Tools,2,5.5,11.0
C505749,2022-04-03,11468,United Kingdom,P0093,Jewelry,2,13.77,27.54
C500104,2022-04-04,10025,France,P0371,Baby,6,29.44,176.64
C500104,2022-04-04,10025,France,P0182,Jewelry,6,41.89,251.34
C507820,2022-04-04,12031,United Kingdom,P0075,Electronics,1,7.73,7.73
C508909,2022-04-04,12307,United Kingdom,P0153,Health,3,20.29,60.87
C507820,2022-04-04,12031,United Kingdom,P0221,Clothing,3,41.5,124.5
C507820,2022-04-04,12031,United Kingdom,P0292,Home & Garden,5,6.32,31.6
C507310,2022-04-04,11889,United Kingdom,P0305,Sports & Outdoors,3,7.42,22.26
C507820,2022-04-04,12031,United Kingdom,P0131,Pet Supplies,5,6.84,34.2
C508805,2022-04-05,12278,United Kingdom,P0217,Pet Supplies,6,8.94,53.64
C508805,2022-04-05,12278,United Kingdom,P0359,Health,4,17.31,69.24
C505544,2022-04-06,11411,France,P0309,Beauty,4,19.11,76.44
C505544,2022-04-06,11411,France,P0180,Sports & Outdoors,5,19.68,98.4
C505544,2022-04-06,11411,France,P0354,Baby,5,10.52,52.6
C505544,2022-04-06,11411,France,P0094,Beauty,3,12.35,37.05
C505544,2022-04-06,11411,France,P0229,Sports & Outdoors,3,10.54,31.62
C505544,2022-04-06,11411,France,P0214,Health,4,22.04,88.16
C504294,2022-04-07,11090,United Kingdom,P0263,Home & Garden,4,9.74,38.96
C508624,2022-04-07,12231,Germany,P0388,Automotive,4,37.43,149.72
C501194,2022-04-07,10327,Germany,P0387,Toys,4,10.88,43.52
C504294,2022-04-07,11090,United Kingdom,P0175,Beauty,1,35.8,35.8
C502407,2022-04-08,10613,Netherlands,P0239,Baby,4,27.14,108.56
C500015,2022-04-09,10004,France,P0252,Books,2,12.78,25.56
C500015,2022-04-09,10004,France,P0126,Office,6,19.03,114.18
C500015,2022-04-09,10004,France,P0214,Health,4,22.39,89.56
C507570,2022-04-09,11968,United Kingdom,P0011,Toys,1,9.4,9.4
C507424,2022-04-09,11920,United Kingdom,P0283,Toys,4,19.6,78.4
C507541,2022-04-09,11958,United Kingdom,P0153,Health,3,20.01,60.03
C507424,2022-04-09,11920,United Kingdom,P0015,Sports & Outdoors,1,91.01,91.01
C500015,2022-04-09,10004,France,P0157,Office,5,15.06,75.3
C500015,2022-04-09,10004,France,P0036,Music,6,9.23,55.38
C504250,2022-04-10,11077,United Kingdom,P0353,Food & Grocery,3,11.65,34.95
C506976,2022-04-10,11800,United Kingdom,P0273,Food & Grocery,4,58.18,232.72
C504250,2022-04-10,11077,United Kingdom,P0119,Sports & Outdoors,6,5.36,32.16
C506976,2022-04-10,11800,United Kingdom,P0104,Electronics,5,53.06,265.3
C508513,2022-04-11,12202,Germany,P0249,Health,4,10.65,42.6
C501091,2022-04-11,10299,Netherlands,P0132,Automotive,2,111.14,222.28
C506417,2022-04-12,11655,United Kingdom,P0132,Automotive,6,111.5,669.0
C504316,2022-04-13,11095,United Kingdom,P0227,Jewelry,1,9.36,9.36
C505568,2022-04-13,11417,Germany,P0284,Electronics,6,72.12,432.72
C504664,2022-04-13,11189,Spain,P0389,Automotive,4,6.48,25.92
C506698,2022-04-13,11737,Netherlands,P0260,Automotive,5,4.53,22.65
C506698,2022-04-13,11737,Netherlands,P0209,Sports & Outdoors,6,67.24,403.44
C502816,2022-04-13,10724,Germany,P0322,Books,6,73.76,442.56
C502816,2022-04-13,10724,Germany,P0129,Music,4,32.17,128.68
C508854,2022-04-13,12291,United Kingdom,P0337,Clothing,4,38.95,155.8
C509179,2022-04-14,12379,United Kingdom,P0003,Tools,3,9.59,28.77
C505437,2022-04-14,11386,Spain,P0384,Sports & Outdoors,6,8.91,53.46
C509146,2022-04-15,12373,Spain,P0134,Tools,3,15.63,46.89
C507169,2022-04-15,11847,United Kingdom,P0007,Sports & Outdoors,3,31.35,94.05
C506967,2022-04-15,11798,United Kingdom,P0224,Electronics,3,37.84,113.52
C502570,2022-04-15,10660,United Kingdom,P0336,Pet Supplies,3,75.77,227.31
C502570,2022-04-15,10660,United Kingdom,P0059,Sports & Outdoors,2,48.17,96.34
C502570,2022-04-15,10660,United Kingdom,P0118,Food & Grocery,2,62.1,124.2
C502570,2022-04-15,10660,United Kingdom,P0122,Electronics,2,8.28,16.56
C509146,2022-04-15,12373,Spain,P0155,Office,5,10.78,53.9
C507169,2022-04-15,11847,United Kingdom,P0398,Food & Grocery,6,20.05,120.3
C502529,2022-04-15,10650,France,P0137,Automotive,5,10.39,51.95
C506919,2022-04-15,11785,United Kingdom,P0270,Beauty,4,14.71,58.84
C502529,2022-04-15,10650,France,P0269,Health,6,80.8,484.8
C502529,2022-04-15,10650,France,P0098,Beauty,4,6.38,25.52
C502529,2022-04-15,10650,France,P0378,Electronics,5,30.85,154.25
C505582,2022-04-15,11421,United Kingdom,P0205,Pet Supplies,6,14.49,86.94
C504774,2022-04-17,11216,United Kingdom,P0218,Baby,1,18.95,18.95
C504774,2022-04-17,11216,United Kingdom,P0016,Books,5,14.9,74.5
C508415,2022-04-18,12177,United Kingdom,P0291,Health,2,17.04,34.08
C508415,2022-04-18,12177,United Kingdom,P0224,Electronics,6,37.67,226.02
C508415,2022-04-18,12177,United Kingdom,P0128,Music,3,20.13,60.39
C508415,2022-04-18,12177,United Kingdom,P0138,Toys,6,15.36,92.16
C504953,2022-04-19,11257,United Kingdom,P0385,Baby,3,12.79,38.37
C505585,2022-04-19,11422,United Kingdom,P0076,Books,5,10.33,51.65
C506657,2022-04-19,11727,United Kingdom,P0385,Baby,2,12.7,25.4
C504953,2022-04-19,11257,United Kingdom,P0122,Electronics,2,7.44,14.88
C505585,2022-04-19,11422,United Kingdom,P0374,Automotive,6,4.43,26.58
C504670,2022-04-20,11189,Spain,P0234,Music,1,24.32,24.32
C509521,2022-04-21,12473,United Kingdom,P0179,Clothing,3,8.67,26.01
C509521,2022-04-21,12473,United Kingdom,P0157,Office,2,15.6,31.2
C506180,2022-04-21,11586,Netherlands,P0340,Health,5,19.73,98.65
C505565,2022-04-21,11417,Germany,P0072,Automotive,3,11.78,35.34
C505565,2022-04-21,11417,Germany,P0363,Electronics,3,34.44,103.32
C505542,2022-04-23,11410,United Kingdom,P0394,Clothing,1,29.97,29.97
C506046,2022-04-23,11544,United Kingdom,P0264,Clothing,6,67.76,406.56
C506046,2022-04-23,11544,United Kingdom,P0276,Home & Garden,2,44.31,88.62
C507417,2022-04-24,11917,Germany,P0093,Jewelry,2,13.54,27.08
C505389,2022-04-24,11373,United Kingdom,P0369,Toys,4,28.65,114.6
C505389,2022-04-24,11373,United Kingdom,P0267,Food & Grocery,3,19.6,58.8
C505389,2022-04-24,11373,United Kingdom,P0240,Office,2,6.03,12.06
C506507,2022-04-24,11684,France,P0233,Music,6,21.15,126.9
C503194,2022-04-25,10807,United Kingdom,P0285,Clothing,6,5.53,33.18
C500670,2022-04-25,10182,United Kingdom,P0154,Sports & Outdoors,1,53.86,53.86
C500670,2022-04-25,10182,United Kingdom,P0146,Health,4,35.79,143.16
C503257,2022-04-25,10826,Germany,P0109,Tools,4,17.39,69.56
C500670,2022-04-25,10182,United Kingdom,P0198,Pet Supplies,5,24.05,120.25
C503257,2022-04-25,10826,Germany,P0011,Toys,3,9.3,27.9
C500670,2022-04-25,10182,United Kingdom,P0327,Tools,5,47.07,235.35
C506001,2022-04-25,11532,Spain,P0051,Jewelry,4,44.16,176.64
C500670,2022-04-25,10182,United Kingdom,P0023,Food & Grocery,6,36.43,218.58
C506627,2022-04-26,11716,United Kingdom,P0085,Clothing,4,21.25,85.0
C506627,2022-04-26,11716,United Kingdom,P0319,Beauty,6,2.86,17.16
C504000,2022-04-27,11004,United Kingdom,P0163,Music,6,18.03,108.18
C505574,2022-04-27,11418,Germany,P0030,Sports & Outdoors,6,7.7,46.2
C504000,2022-04-27,11004,United Kingdom,P0320,Food & Grocery,5,5.03,25.15
C505574,2022-04-27,11418,Germany,P0261,Jewelry,3,53.74,161.22
C505371,2022-04-28,11368,Netherlands,P0158,Automotive,1,15.38,15.38
C505371,2022-04-28,11368,Netherlands,P0098,Beauty,6,5.76,34.56
C504038,2022-04-28,11017,Netherlands,P0194,Tools,1,5.72,5.72
C503444,2022-04-28,10873,United Kingdom,P0292,Home & Garden,1,5.78,5.78
C505371,2022-04-28,11368,Netherlands,P0382,Music,5,9.96,49.8
C503444,2022-04-28,10873,United Kingdom,P0258,Food & Grocery,6,33.38,200.28
C503444,2022-04-28,10873,United Kingdom,P0191,Health,6,11.36,68.16
C503444,2022-04-28,10873,United Kingdom,P0218,Baby,1,18.69,18.69
C503444,2022-04-28,10873,United Kingdom,P0144,Food & Grocery,5,38.68,193.4
C503444,2022-04-28,10873,United Kingdom,P0267,Food & Grocery,4,18.86,75.44
C503444,2022-04-28,10873,United Kingdom,P0284,Electronics,1,72.53,72.53
C505091,2022-04-29,11299,United Kingdom,P0379,Home & Garden,3,4.1,12.3
C505511,2022-04-29,11401,United Kingdom,P0014,Food & Grocery,1,36.17,36.17
C509145,2022-04-29,12373,Spain,P0356,Electronics,6,18.72,112.32
C506334,2022-04-29,11630,United Kingdom,P0373,Baby,3,3.69,11.07
C509145,2022-04-29,12373,Spain,P0386,Health,3,43.15,129.45
C506334,2022-04-29,11630,United Kingdom,P0200,Tools,6,37.2,223.2
C507637,2022-04-29,11985,United Kingdom,P0167,Toys,4,16.17,64.68
C506334,2022-04-29,11630,United Kingdom,P0124,Sports & Outdoors,5,21.35,106.75
C507637,2022-04-29,11985,United Kingdom,P0070,Electronics,2,32.76,65.52
C505023,2022-04-29,11280,United Kingdom,P0111,Tools,4,7.54,30.16
C505023,2022-04-29,11280,United Kingdom,P0270,Beauty,2,14.38,28.76
C506334,2022-04-29,11630,United Kingdom,P0246,Home & Garden,4,16.54,66.16
C506334,2022-04-29,11630,United Kingdom,P0137,Automotive,4,10.27,41.08
